ID,SOURCE_PKEY,BUSINESS_ID,PROJECT_CODE_CD,PROJECT_RESPONSIBLE,PROJECT_ORGANIZATION_TYPE,PROJECT_TYPE,PROJECT_SUBTYPE,PROJECT_NAME_NM,PROJECT_DESCRIPTION_DESC,PROJECT_CATEGORY,PROJECT_STATUS,PROJECT_STATUS_DETAILED,PROJECT_PHASE,MECHANISM_OF_ACTION,ACTIVE_SUBSTANCE_TYPE,ACTIVE_SUBSTANCE_SUB_TYPE,ORIGIN_OF_ACTIVE_SUBSTANCE,ORIGIN_COMPANY_OF_ACTIVE_SUBSTANCE,EXTERNAL_ACTIVE_SUBSTANCE_CODE,DATE_OF_AGREEMENT,BRAND_NAME_NM,INN,RA_CODE,ADDITIONAL_PROJECT_INFORMATION,RESEARCH_PROJECT_TARGET,RW_CLUSTER,SCREENING_ORIENTATION,SCREEN_TYPE,TARGET_RATIONALE,PROJECT_GLOBAL_OBJECTIVE,SOURCE_SYSTEM,CREATIONDATE_DT,LASTUPDATEDATE_DT,CREATEDBY,UPDATEDBY,SOURCE_OF_ORIGIN,STATE
2580,6723611af877cd45d635eb83,OTH000000000CQ,EMISU_SAR439291,U91,OTHER,Customer,Internal Customer,,EMISU_SAR439291 (Metronomic Pill),O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:05.000,2024-11-26 08:39:20.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2581,6723611af877cd45d635eb84,OTH000000000CR,ESPER_OTHER_D_U65,U65,OTHER,Customer,External Customer,,Project Dev for Esperance,O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:05.000,2024-11-26 08:38:09.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2582,6723611af877cd45d635eb86,OTH000000000CT,EVOTEC_LC81086,HB,OTHER,Customer,External Customer,,Evotec_LC81086 Tuberculosis G. Inhib.,O,Ongoing,Ongoing,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:05.000,2024-11-26 08:38:44.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2583,6723611af877cd45d635eb87,OTH000000000CU,EVOTEC_SAR127963,HB,OTHER,Customer,External Customer,,SAR127963 for EVOTEC,O,Completed,Completed inactive,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:05.000,2024-11-26 08:39:00.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2584,6723611af877cd45d635eb88,OTH000000000CV,EVOTEC_SAR241651,HB,OTHER,Customer,External Customer,,SAR241651 for EVOTEC,O,Completed,Completed inactive,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:05.000,2024-11-26 08:39:16.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2585,674968cc235f773343325b93,OTH000000000CW,EVOTEC_SAR440894,HB,OTHER,Customer,External Customer,EVOTEC_SAR440894,Evotec_SAR440894 Anti-CHIKV mAb,O,Completed,Completed active,,,,,,,,,,,,,,,,,,,MDM,2024-11-29 07:10:04.000,2026-01-24 05:04:56.000,cloudadmin@sanofi.com.doCDGC.prod,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2586,6723611af877cd45d635eb8b,OTH000000000CY,EXT0007,,OTHER,Multi-Project,Multi-Project Other Specific Activities,,Risperidone,O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:05.000,2024-11-26 08:39:04.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2587,6723611af877cd45d635eb8c,OTH000000000CZ,EXT0406,,OTHER,Multi-Project,Multi-Project Other Specific Activities,,Pentagastrin,O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:05.000,2024-11-26 08:38:30.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2588,6723611af877cd45d635eb8d,OTH000000000D0,EXT0420,,OTHER,Multi-Project,Multi-Project Other Specific Activities,,EXT0420,O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:05.000,2024-11-26 08:39:19.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2589,6723611af877cd45d635eb8f,OTH000000000D2,EXT_ADJ,HA,OTHER,Not Planned,Not Planned PRIME Legacy,,EXT_ADJ,D,NotPlanned,,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:05.000,2024-11-26 08:39:21.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2590,6723611af877cd45d635eb91,OTH000000000D4,E_CS,U64,OTHER,Customer,External Customer,,External File for CS,O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:05.000,2024-11-26 08:38:13.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2591,6723611af877cd45d635eb92,OTH000000000D5,E_CSO_Business_Opportunities,U65,OTHER,Customer,External Customer,,External File for CSO - Business Opportunities,O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:05.000,2024-11-26 08:39:28.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2592,6723611af877cd45d635eb93,OTH000000000D6,E_CSO_CONSUMER_HEALTH_CARE,,OTHER,Customer,External Customer,,External file for CSO_Consumer Health Care,O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:05.000,2024-11-26 08:38:43.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2593,6723611af877cd45d635eb94,OTH000000000D7,E_CSO_GENZYME,U65,OTHER,Customer,Internal Customer,,External file for CSO - Genzyme,O,Stopped,Stopped inactive,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:05.000,2024-11-26 08:39:02.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2594,6723611af877cd45d635eb95,OTH000000000D8,E_CSO_IA,U65,OTHER,Customer,External Customer,,External file for CSO- Industrial Affairs,O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:05.000,2024-11-26 08:39:20.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2595,6723611af877cd45d635eb96,OTH000000000D9,E_CSO_SANOFI_PASTEUR,U65,OTHER,Customer,External Customer,,External file for CSO-Sanofi Pasteur,O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:05.000,2024-11-26 08:39:34.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2596,6723611af877cd45d635eb98,OTH000000000DB,E_CS_FR_AFFILIATE,,OTHER,Customer,External Customer,,External file for CS - France Affiliate,O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:05.000,2024-11-26 08:38:41.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2597,6723611af877cd45d635eb99,OTH000000000DC,E_CS_GENZYME,U64,OTHER,Customer,Internal Customer,,External file for CS - Genzyme,O,Stopped,Stopped inactive,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:05.000,2024-11-26 08:38:44.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2598,6723611af877cd45d635eb9a,OTH000000000DD,E_CS_NCI,,OTHER,Customer,External Customer,,External file for CS - National Cancer Institute,O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:05.000,2024-11-26 08:38:42.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2599,6723611af877cd45d635eb9b,OTH000000000DE,E_DSAR_A2M,,OTHER,Customer,External Customer,,External file for DSAR - Access to Medicine,O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:05.000,2024-11-26 08:39:20.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2600,6723611af877cd45d635eb9e,OTH000000000DH,E_DSAR_REGULUS,,OTHER,Customer,External Customer,,External file for DSAR - Regulus,O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:05.000,2024-11-26 08:39:20.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2601,6723611af877cd45d635eba0,OTH000000000DJ,E_DSAR_US_MP,,OTHER,Customer,External Customer,,External file for DSAR - US Mature Product,O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:05.000,2024-11-26 08:39:08.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2602,6723611af877cd45d635eba3,OTH000000000DM,E_LGCR_FOVEA,U62,OTHER,Customer,Internal Customer,,External file for LGCR - Fovea,O,Stopped,Stopped inactive,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:05.000,2024-11-26 08:39:21.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2603,6723611af877cd45d635eba6,OTH000000000DP,FOXFUN_AVE8112_U64,U64,OTHER,Customer,External Customer,,FOXFUN_AVE8112_U64,O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:05.000,2024-11-26 08:38:44.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2604,6723611af877cd45d635eba8,OTH000000000DR,GPE_OTHER_D,HB,OTHER,Customer,Internal Customer,,GPE_OTHER_D,O,Completed,Completed inactive,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:05.000,2024-11-26 08:39:03.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2605,6723611af877cd45d635ebaa,OTH000000000DT,GZE_IA_CEREZYME_U67,U67,OTHER,Customer,Internal Customer,,GZE_IA_CEREZYME_U67,O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:05.000,2024-11-26 08:39:14.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2606,6723611af877cd45d635ebab,OTH000000000DU,GZE_IA_FABRAZYME_U67,U67,OTHER,Customer,Internal Customer,,GZE_IA_FABRAZYME_U67,O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:05.000,2024-11-26 08:39:17.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2607,6723611af877cd45d635ebac,OTH000000000DV,GZE_IA_FZNEW_U67,U67,OTHER,Customer,Internal Customer,,GZE_IA_FZNEW_U67,O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:05.000,2024-11-26 08:39:25.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2608,6723611cf877cd45d635ee9c,OTH000000000FE,GZE_IA_OTHER_O_U61,U61,OTHER,Customer,Internal Customer,,GZE_IA_OTHER_O_U61,O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:08.000,2024-11-26 08:39:19.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2609,6723611df877cd45d635eecc,OTH000000000FH,GZE_IA_THYROGEN_U67,U67,OTHER,Customer,Internal Customer,,GZE_IA_THYROGEN_U67,O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:09.000,2024-11-26 08:38:38.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2610,6723611df877cd45d635eee4,OTH000000000FJ,GZE_PO_ALDURAZYME_U67,U67,OTHER,Customer,Internal Customer,,GZE_PO_ALDURAZYME_U67,O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:09.000,2024-11-26 08:38:59.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2611,6723611df877cd45d635eef0,OTH000000000FK,GZE_PO_ALDURAZYME_U71,U71,OTHER,Customer,Internal Customer,,GZE_PO_ALDURAZYME_U71,O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:09.000,2024-11-26 08:39:06.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2612,6723611df877cd45d635eefc,OTH000000000FL,GZE_PO_CAMPATH,U91,OTHER,Customer,Internal Customer,,Genzyme Pharma Ops / Medical Affairs_CAMPATH,O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:09.000,2024-11-26 08:38:09.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2613,6723611df877cd45d635ef08,OTH000000000FM,GZE_PO_CAMPATH_U64,U64,OTHER,Customer,Internal Customer,,GZE_PO_CAMPATH_U64,O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:09.000,2024-11-26 08:39:22.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2614,6723611df877cd45d635ef2c,OTH000000000FP,GZE_PO_CEREZYME_U64,U64,OTHER,Customer,Internal Customer,,GZE_PO_CEREZYME_U64,O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:09.000,2024-11-26 08:39:01.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2615,6723611ef877cd45d635ef44,OTH000000000FR,GZE_PO_CLOFARABINE_U62,U62,OTHER,Customer,Internal Customer,,GZE_PO_CLOFARABINE_U62,O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:10.000,2024-11-26 08:39:25.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2616,6723611ef877cd45d635ef5c,OTH000000000FT,GZE_PO_CLOFARABINE_U65,U65,OTHER,Customer,Internal Customer,,GZE_PO_CLOFARABINE_U65,O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:10.000,2024-11-26 08:38:23.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2617,6723611ef877cd45d635ef86,OTH000000000FW,GZE_PO_EPICEL,U91,OTHER,Customer,Internal Customer,,Genzyme Pharma Ops / Medical Affairs_EPICEL,O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:10.000,2024-11-26 08:38:18.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2618,6723611ef877cd45d635ef92,OTH000000000FX,GZE_PO_FABRAZYME_U34,U34,OTHER,Customer,Internal Customer,,GZE_PO_FABRAZYME_U34,O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:10.000,2024-11-26 08:39:12.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2619,6723611ff877cd45d635efb6,OTH000000000G0,GZE_PO_FABRAZYME_U65,U65,OTHER,Customer,Internal Customer,,GZE_PO_FABRAZYME_U65,O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:11.000,2024-11-26 08:39:06.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2620,6723611ff877cd45d635efc2,OTH000000000G1,GZE_PO_FABRAZYME_U71,U71,OTHER,Customer,Internal Customer,,GZE_PO_FABRAZYME_U71,O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:11.000,2024-11-26 08:38:50.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2621,6723611ff877cd45d635efec,OTH000000000G4,GZE_PO_GABI_U48,U48,OTHER,Customer,Internal Customer,,GZE_PO_GABI_U48,O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:11.000,2024-11-26 08:38:22.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2622,67236120f877cd45d635f058,OTH000000000GB,GZE_PO_GZ419828,HB,OTHER,Customer,Internal Customer,,GZE_PO_GZ419828 / Medical Affairs_FABRAZYME,O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:12.000,2024-11-26 08:38:49.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2623,67236121f877cd45d635f09a,OTH000000000GF,GZE_PO_LEG_SOLID_TUMORS_T,HB,OTHER,Customer,Internal Customer,,LEG_SOLID_TUMORS_T,O,NotPlanned,,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:13.000,2024-11-26 08:39:08.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2624,67236121f877cd45d635f0a6,OTH000000000GG,GZE_PO_LEMTRADA_U65,U65,OTHER,Customer,Internal Customer,,GZE_PO_LEMTRADA_U65,O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:13.000,2024-11-26 08:38:32.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2625,67236121f877cd45d635f0b2,OTH000000000GH,GZE_PO_LEMTRADA_U71,U71,OTHER,Customer,Internal Customer,,GZE_PO_LEMTRADA_U71,O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:13.000,2024-11-26 08:38:30.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2626,67236121f877cd45d635f0be,OTH000000000GI,GZE_PO_LEUKINE_U64,U64,OTHER,Customer,Internal Customer,,GZE_PO_LEUKINE_U64,O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:13.000,2024-11-26 08:39:11.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2627,67236121f877cd45d635f0ca,OTH000000000GJ,GZE_PO_LEUKINE_U71,U71,OTHER,Customer,Internal Customer,,GZE_PO_LEUKINE_U71,O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:13.000,2024-11-26 08:39:14.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2628,67236122f877cd45d635f0e2,OTH000000000GL,GZE_PO_MACI_U71,U71,OTHER,Customer,Internal Customer,,GZE_PO_MACI_U71,O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:14.000,2024-11-26 08:39:18.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2629,67236122f877cd45d635f0fa,OTH000000000GN,GZE_PO_MOZOBIL_U64,U64,OTHER,Customer,Internal Customer,,GZE_PO_MOZOBIL_U64,O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:14.000,2024-11-26 08:38:47.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2630,67236123f877cd45d635f2a7,OTH000000000I2,GZE_PO_MOZOBIL_U71,U71,OTHER,Customer,Internal Customer,,GZE_PO_MOZOBIL_U71,O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:15.000,2024-11-26 08:39:11.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2631,67236123f877cd45d635f2cb,OTH000000000I5,GZE_PO_OTHER_D_U34,U34,OTHER,Customer,Internal Customer,,Internal File for Pharma Ops for Genzyme Clinical Development,O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:15.000,2024-11-26 08:38:09.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2632,67236123f877cd45d635f2d7,OTH000000000I6,GZE_PO_OTHER_D_U65,U65,OTHER,Customer,Internal Customer,,GZE_PO_OTHER_D_U65,O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:15.000,2024-11-26 08:39:16.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2633,67236123f877cd45d635f2e3,OTH000000000I7,GZE_PO_OTHER_D_U71,U71,OTHER,Customer,Internal Customer,,GZE_PO_OTHER_D_U71,O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:15.000,2024-11-26 08:39:06.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2634,67236124f877cd45d635f355,OTH000000000IF,GZE_PO_SEPRA_U62,U62,OTHER,Customer,Internal Customer,,GZE_PO_SEPRA_U62,O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:16.000,2024-11-26 08:39:19.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2635,67236124f877cd45d635f367,OTH000000000IG,GZE_PO_SEPRA_U65,U65,OTHER,Customer,Internal Customer,,GZE_PO_SEPRA_U65,O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:16.000,2024-11-26 08:39:26.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2636,67236124f877cd45d635f379,OTH000000000IH,GZE_PO_SEPRA_U71,U71,OTHER,Customer,Internal Customer,,GZE_PO_SEPRA_U71,O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:16.000,2024-11-26 08:38:58.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2637,67236125f877cd45d635f397,OTH000000000IJ,GZE_PO_SYNVISC_U48,U48,OTHER,Customer,Internal Customer,,GZE_PO_SYNVISC_U48,O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:17.000,2024-11-26 08:38:50.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2638,67236125f877cd45d635f3a3,OTH000000000IK,GZE_PO_SYNVISC_U64,U64,OTHER,Customer,Internal Customer,,GZE_PO_SYNVISC_U64,O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:17.000,2024-11-26 08:38:09.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2639,67236125f877cd45d635f3bb,OTH000000000IM,GZE_PO_SYNVISC_U71,U71,OTHER,Customer,Internal Customer,,GZE_PO_SYNVISC_U71,O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:17.000,2024-11-26 08:39:07.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2640,67236125f877cd45d635f3c7,OTH000000000IN,GZE_PO_THYMOGLOBULIN_U64,U64,OTHER,Customer,Internal Customer,,GZE_PO_THYMOGLOBULIN_U64,O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:17.000,2024-11-26 08:39:09.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2641,67236125f877cd45d635f3d3,OTH000000000IO,GZE_PO_THYMOGLOBULIN_U71,U71,OTHER,Customer,Internal Customer,,GZE_PO_THYMOGLOBULIN_U71,O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:17.000,2024-11-26 08:38:59.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2642,67236125f877cd45d635f3df,OTH000000000IP,GZE_PO_THYROGEN_U67,U67,OTHER,Customer,Internal Customer,,GZE_PO_THYROGEN_U67,O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:17.000,2024-11-26 08:38:56.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2643,67236126f877cd45d635f3eb,OTH000000000IQ,GZE_PO_THYROGEN_U71,U71,OTHER,Customer,Internal Customer,,GZE_PO_THYROGEN_U71,O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:18.000,2024-11-26 08:39:19.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2644,67236126f877cd45d635f41b,OTH000000000IU,GZE_RD_MIPOMERSEN_U45,U45,OTHER,Customer,Internal Customer,,GZE_RD_MIPOMERSEN_U45,O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:18.000,2024-11-26 08:39:09.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
2645,67236126f877cd45d635f427,OTH000000000IV,GZE_RD_OTHER_O_U63,U63,OTHER,Customer,Internal Customer,,GZE_RD_OTHER_O_U63,O,Cancelled,Cancelled,,,,,,,,,,,,,,,,,,,MDM,2024-10-31 10:51:18.000,2024-11-26 08:38:58.000,Patrice.Darzens@sanofi.com.SAML4,cloudadmin@sanofi.com.doCDGC.prod,PRIME,ACTIVE
